item,joke,embedding
0,"
A man visits the doctor. The doctor says ""I have bad news for you.You have
cancer and Alzheimer's disease"". <P>
The man replies ""Well,thank God I don't have cancer!""
","[ 4.7635284e-04  1.7004877e-03 -1.5104138e-03 -1.0460238e-04
  1.4657355e-03  2.1648216e-03 -1.3014323e-03 -9.6955308e-04
  4.0315897e-03  4.2453897e-03 -1.2358603e-03  3.1627966e-03
  1.9358104e-03  2.2291087e-03 -3.9365236e-03 -2.4649757e-04
  1.3671019e-03  1.2678495e-03 -3.2813401e-05 -2.0311428e-03
  1.2764991e-03  1.5907404e-03  1.8158063e-03 -1.7469907e-03
  5.6637853e-04 -2.0753427e-03  2.9348729e-03 -1.8395194e-03
  9.1175163e-05  4.7990056e-03 -7.1445026e-04  5.4024573e-04
 -3.7881178e-03 -2.4188650e-03 -3.6046815e-03 -1.6641345e-04
 -1.7681478e-03 -2.8828685e-03 -7.9781777e-05 -1.1531709e-03
  8.3684432e-04  3.9002318e-03  5.3240766e-04  2.2351691e-03
  1.8765703e-03  4.6045543e-04  1.6593568e-03  9.7831246e-04
  1.2633549e-03  1.5489118e-03 -2.4725634e-03  4.0323325e-03
 -3.0095524e-03  1.6967873e-03 -2.4589058e-03 -4.1813107e-04
 -1.2176940e-03  8.3012780e-04  1.5837861e-03  2.3772165e-03
 -1.3922027e-03  1.7689663e-03  3.3998510e-03  1.2226029e-03
 -9.0485002e-04  9.3470397e-04 -3.2315622e-03  1.9946694e-03
  2.5054126e-03  7.2468328e-04 -3.6319441e-03  8.0071384e-04
 -4.5222620e-04 -1.7247073e-04 -3.7375211e-03 -1.5469464e-03
  3.7114322e-03  1.9448034e-03  2.0638218e-03 -7.6058452e-05
 -2.0170691e-03  1.3860874e-03  1.3682732e-03 -1.1673190e-03
 -8.1638753e-04 -1.6404437e-03  1.0798334e-03  1.4738875e-03
 -1.8617847e-03 -7.5384963e-04  3.3990934e-03  5.4182118e-04
  6.5078964e-03 -3.3737237e-03 -1.5094139e-03 -3.3937660e-03
 -1.0416298e-03  2.7227614e-03 -3.9555159e-04  6.7263391e-05]"
1,"
This couple had an excellent relationship going until one day he came home
from work to find his girlfriend packing. He asked her why she was leaving him
and she told him that she had heard awful things about him. 
<P>
""What could they possibly have said to make you move out?"" 
<P>
""They told me that you were a pedophile."" 
<P>
He replied, ""That's an awfully big word for a ten year old."" 
","[ 3.7365314e-04  1.3199089e-03 -1.4015944e-03 -4.5837427e-05
  1.6685745e-03  1.5598737e-03 -8.6829031e-04 -1.0476591e-03
  3.5611270e-03  4.2583151e-03 -1.2677509e-03  2.5213391e-03
  1.6663851e-03  1.4846950e-03 -3.3415700e-03 -1.7417426e-04
  1.3955975e-03  9.4007479e-04  8.4143670e-05 -1.8370188e-03
  1.0852375e-03  1.1684221e-03  1.4050894e-03 -1.3714506e-03
  3.4000538e-04 -1.7805551e-03  2.6532118e-03 -1.6856672e-03
 -1.0395597e-04  4.4254181e-03 -8.6385111e-04  3.7356219e-04
 -3.3691549e-03 -1.9852805e-03 -3.2324288e-03 -2.3226620e-04
 -1.4307399e-03 -2.1975287e-03  3.6036341e-05 -8.7099866e-04
  6.6249241e-04  3.2533093e-03  8.1072451e-04  2.2241685e-03
  1.1901165e-03  6.4474141e-04  1.7059870e-03  1.0490853e-03
  1.0296103e-03  1.5985791e-03 -2.1058854e-03  3.6709772e-03
 -2.1583131e-03  1.6617134e-03 -2.0819455e-03 -3.2975964e-04
 -7.7014446e-04  7.8300381e-04  1.4017269e-03  2.1539964e-03
 -8.7959855e-04  1.9665961e-03  2.6762008e-03  6.2550657e-04
 -5.3825008e-04  1.2014459e-03 -2.7875467e-03  1.8448621e-03
  1.8066379e-03  5.9173658e-04 -2.8678768e-03  6.2942319e-04
 -5.8378646e-04 -1.9801692e-04 -3.2686272e-03 -1.3687704e-03
  3.2434766e-03  1.7099013e-03  1.9167626e-03 -2.6094760e-05
 -1.9169854e-03  1.2353752e-03  1.1344828e-03 -1.2065645e-03
 -8.7424164e-04 -1.7721475e-03  8.4531965e-04  1.5922266e-03
 -1.3372151e-03 -6.8068848e-04  2.9058303e-03  1.9864742e-04
  5.9254020e-03 -2.9054347e-03 -1.1112380e-03 -2.8617543e-03
 -1.1715537e-03  2.4920872e-03 -6.3212571e-04  3.3817647e-04]"
2,"
Q. What's 200 feet long and has 4 teeth? <P>

A. The front row at a Willie Nelson Concert.
","[ 3.69569636e-04  8.97537102e-04 -1.27275882e-03 -1.92723324e-04
  9.75518604e-04  1.15624396e-03 -6.26011693e-04 -1.02201442e-03
  2.83260015e-03  3.25895520e-03 -1.30512903e-03  2.28465372e-03
  1.12432207e-03  8.71027412e-04 -2.69882311e-03 -2.06865181e-04
  9.21609288e-04  3.90732486e-04 -2.34842737e-04 -1.33138266e-03
  7.30696192e-04  1.03394105e-03  1.23442197e-03 -9.97983385e-04
  4.01847719e-05 -1.31764228e-03  2.12035142e-03 -1.39310048e-03
 -4.87964600e-04  3.37576075e-03 -5.77136874e-04  2.79751228e-04
 -2.75921891e-03 -1.64178666e-03 -2.97547178e-03 -2.21166818e-04
 -1.05651433e-03 -1.73868611e-03  1.24567348e-04 -5.14101004e-04
  1.10344932e-04  2.60910927e-03  6.76594733e-04  1.66589185e-03
  1.41183543e-03  6.34363503e-04  1.45866547e-03  6.97770796e-04
  7.60194263e-04  1.36265741e-03 -1.74195343e-03  2.66613392e-03
 -1.74470118e-03  1.07767968e-03 -1.66895322e-03 -1.65404956e-04
 -5.34218212e-04  6.49141904e-04  1.10820401e-03  1.42282736e-03
 -7.25280726e-04  1.48650247e-03  2.33945670e-03  7.01886893e-04
 -7.33769441e-04  1.20441825e-03 -2.46415008e-03  1.56605861e-03
  1.58094463e-03  1.12996866e-04 -1.93299702e-03  7.06476043e-04
 -9.08080474e-05 -2.94550671e-04 -2.51975167e-03 -9.92212095e-04
  2.64400500e-03  1.37675647e-03  1.65094901e-03 -5.02555398e-04
 -1.22200127e-03  1.04549713e-03  7.57006404e-04 -1.00438425e-03
 -6.92876230e-04 -1.40711432e-03  3.79845675e-04  1.45278871e-03
 -8.93665245e-04 -5.52619167e-04  2.29382608e-03  8.09387129e-05
  4.63019218e-03 -2.54919077e-03 -1.06278039e-03 -2.47129821e-03
 -7.08402775e-04  2.56606191e-03 -4.71694919e-04  5.52920857e-04]"
3,"
Q. What's the difference between a man and a toilet? 
<P>
A. A toilet doesn't follow you around after you use it.
","[ 0.0008604   0.00123471 -0.00199114 -0.00052153  0.00188882  0.00207335
 -0.00182976 -0.00161684  0.00477431  0.00511694 -0.00137623  0.00323383
  0.00177958  0.0024105  -0.00392838 -0.00039256  0.00160132  0.00098991
 -0.00041652 -0.00219754  0.00163818  0.00145906  0.00176046 -0.00121954
  0.00031951 -0.002211    0.00323275 -0.00236849 -0.00083591  0.0055541
 -0.00072988  0.00093757 -0.00458477 -0.00262951 -0.00483515 -0.00046887
 -0.00170402 -0.00261934  0.00034451 -0.00096727  0.00026185  0.00446743
  0.00109544  0.00305201  0.00217394  0.0016154   0.00247941  0.00143503
  0.00178313  0.00233821 -0.00278351  0.00448697 -0.00266159  0.001576
 -0.00294423 -0.00037675 -0.00066062  0.00038934  0.00169624  0.00214484
 -0.000968    0.00217582  0.00408439  0.00109294 -0.00117357  0.00158907
 -0.0034571   0.00212245  0.00294988  0.00036865 -0.00322823  0.00108007
 -0.00037093 -0.00042499 -0.00415968 -0.00155353  0.0041767   0.00202166
  0.00276581 -0.00034453 -0.00191495  0.0016802   0.00141596 -0.00143693
 -0.00077574 -0.00222295  0.00073064  0.00207625 -0.00119586 -0.00093291
  0.00373912  0.00031174  0.00720971 -0.00360429 -0.00126307 -0.00427028
 -0.00098623  0.00349509 -0.00038564  0.00077855]"
4,"
Q.	What's O. J. Simpson's Internet address? <P>
A.	Slash, slash, backslash, slash, slash, escape.
","[ 2.17438734e-04  1.01608755e-04 -2.50467332e-04  1.09702349e-04
 -1.43271856e-04  4.74554865e-04  4.86559402e-05 -1.08233311e-04
 -1.24152037e-04  2.16473083e-04 -1.87448182e-04  1.35496259e-04
  5.81363429e-06  1.01424021e-05  1.32988047e-04  1.31366585e-04
  4.76968096e-04  3.40625229e-05 -1.55312329e-04 -3.02471482e-04
 -2.89066345e-04  1.13279901e-04  1.68397310e-04 -2.60335539e-04
  1.96570458e-04 -2.66532123e-04  6.57468117e-05 -1.27719788e-04
 -3.41644714e-04  5.98678540e-04  1.62104498e-05 -1.09581168e-04
 -3.99538731e-05 -2.72343779e-04 -1.83775963e-04 -2.15578966e-05
 -2.06685290e-05 -3.04024055e-04 -1.16761948e-04 -2.51828693e-04
 -1.31560708e-04  5.54537146e-05 -2.14202839e-04  5.22254675e-04
  2.95006932e-04 -7.09128426e-06 -8.58432395e-05 -4.05268511e-05
 -7.98994224e-05  1.71061125e-04  2.20181115e-04 -2.18469359e-05
  1.13285758e-04  2.02454918e-04  3.27272603e-04  9.25518179e-05
 -1.11331501e-04 -1.32231753e-05 -2.38112392e-04 -2.00718801e-04
 -1.21656803e-05 -8.56516781e-05  2.51082412e-04  1.86866950e-04
 -4.28830535e-04 -3.69976915e-05 -1.61226908e-05  1.32816087e-04
  1.82185729e-04 -4.36931354e-04 -1.28387852e-04 -7.84305521e-05
  1.10269662e-04  2.59810622e-04 -2.88076350e-04 -1.39601689e-04
  9.19658851e-05 -6.73140312e-06  1.78811679e-04 -1.46013872e-05
  1.26138373e-04 -2.61303503e-04 -3.86300635e-05 -1.30587257e-04
  2.62245321e-05 -2.08510144e-04 -2.96782873e-05 -3.74352530e-04
 -2.71042518e-04 -3.47176479e-04  4.62394528e-04  1.44582620e-04
 -3.99545679e-05 -4.04927996e-05  1.21078483e-04 -4.76530287e-04
 -5.56390914e-05 -6.74374678e-05  2.69406388e-04 -1.33647947e-04]"
5,"
Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts of
town. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She and
the attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. 
<P>
As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could've
been the wife of a grease monkey !' 
<P>
To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !' 
","[ 0.00062141  0.00171823 -0.00171945 -0.00044469  0.00194053  0.00239463
 -0.00139348 -0.00127618  0.00475853  0.0052973  -0.0014428   0.00348624
  0.00209142  0.00218756 -0.00423288 -0.00021555  0.00172315  0.00123835
 -0.0001969  -0.00213016  0.00135727  0.00190769  0.0019977  -0.00171257
  0.00044225 -0.00234891  0.0030819  -0.00212763 -0.00014867  0.0057878
 -0.00116229  0.00062263 -0.00475095 -0.00291303 -0.00444488 -0.00021084
 -0.00154872 -0.00288812 -0.00024278 -0.0013565   0.00062796  0.00441389
  0.00090915  0.00290181  0.00196007  0.00091313  0.00231463  0.00104096
  0.00150988  0.0019915  -0.0030094   0.00489919 -0.00315532  0.00200991
 -0.00274943 -0.00052091 -0.00116678  0.00096034  0.00187706  0.00236528
 -0.00139701  0.00253559  0.00355029  0.00106991 -0.00090809  0.00145685
 -0.0038752   0.00230643  0.00273051  0.00101085 -0.00399389  0.00074593
 -0.00065407 -0.00020591 -0.00421624 -0.00194713  0.00432345  0.00231545
  0.00231845 -0.000172   -0.00233176  0.00177559  0.00161254 -0.00155619
 -0.00089214 -0.00225263  0.0014255   0.00197209 -0.00182912 -0.00082681
  0.00382328  0.00038023  0.00736187 -0.00369096 -0.00173687 -0.00396204
 -0.001225    0.00349572 -0.00080004  0.00022621]"
6,"
How many feminists does it take to screw in a light bulb?<P>
That's not funny.
","[ 7.34167930e-04  1.31185935e-03 -1.41135708e-03  1.27940773e-04
  1.97519572e-03  1.83910981e-03 -1.30837678e-03 -1.29000307e-03
  3.80410976e-03  4.65004379e-03 -1.66553061e-03  2.20690202e-03
  1.36853580e-03  1.90881605e-03 -3.51406028e-03  4.62175776e-05
  1.43845880e-03  9.24754422e-04 -3.98233096e-04 -1.89571932e-03
  1.45285134e-03  8.55955819e-04  1.60516705e-03 -1.39615207e-03
  9.76639058e-05 -2.01293617e-03  2.59460951e-03 -1.86127482e-03
  6.85563355e-05  4.71786410e-03 -4.69415390e-04  5.62498346e-04
 -3.66602885e-03 -1.99640961e-03 -3.99208767e-03 -1.24840328e-04
 -1.48287194e-03 -1.58692000e-03  1.08069195e-04 -6.78002718e-04
  1.60078984e-04  3.42451758e-03  1.16176659e-03  2.65036570e-03
  1.54005864e-03  7.53699744e-04  1.82816945e-03  1.39160571e-03
  7.98108580e-04  1.80376484e-03 -2.54933327e-03  4.06311732e-03
 -2.35431385e-03  1.45306531e-03 -2.14740424e-03  7.65715158e-05
 -7.00251025e-04  3.12689313e-04  1.01156591e-03  1.98437530e-03
 -6.03766355e-04  2.50060530e-03  2.78371549e-03  1.10510469e-03
 -8.63038120e-04  1.08795927e-03 -3.20059084e-03  1.47272833e-03
  2.13867822e-03  5.76478313e-04 -2.93293758e-03  5.32866747e-04
 -5.83018234e-04 -1.35830696e-05 -3.77676683e-03 -1.38893502e-03
  3.97289032e-03  1.86652865e-03  2.43232958e-03 -2.72897625e-04
 -1.96407968e-03  1.28371385e-03  1.07019872e-03 -1.41087803e-03
 -1.17122324e-03 -1.69153104e-03  7.90024176e-04  2.00881227e-03
 -1.31395669e-03 -9.49664332e-04  2.74524884e-03  8.29133714e-05
  6.43736823e-03 -3.04104248e-03 -1.14923867e-03 -3.02669476e-03
 -1.16199336e-03  2.99970573e-03 -4.06865031e-04  4.18620359e-04]"
7,"
Q. Did you hear about the dyslexic devil worshiper? 
<P>
A. He sold his soul to Santa.
","[-2.8942068e-05  1.6259332e-03 -1.5142580e-03 -2.8054637e-04
  1.5046112e-03  1.7981499e-03 -4.7282144e-04 -1.1493228e-03
  3.1896310e-03  3.6676396e-03 -8.2516106e-04  2.1123278e-03
  1.6037803e-03  1.6154306e-03 -3.0660583e-03 -1.7483528e-04
  1.0342679e-03  8.4470038e-04 -2.8463380e-04 -1.6427744e-03
  7.3639676e-04  8.8190456e-04  1.2360330e-03 -1.3967941e-03
  1.3166628e-04 -1.7575494e-03  2.2171638e-03 -1.3683229e-03
 -5.5959747e-05  4.0888451e-03 -1.3279828e-03  3.6522769e-04
 -3.1742721e-03 -2.3922378e-03 -3.4772030e-03 -2.8253626e-04
 -1.1777184e-03 -2.1185149e-03 -1.8477702e-05 -9.0168265e-04
  4.6928387e-04  3.2413767e-03  8.2637201e-04  2.4006334e-03
  1.3473440e-03  8.5770024e-04  1.5637348e-03  8.5835287e-04
  8.9906261e-04  1.6765882e-03 -2.1499170e-03  3.7022477e-03
 -2.0819299e-03  1.4325496e-03 -1.6966193e-03 -1.6496886e-04
 -1.0378500e-03  7.2512450e-04  1.6859346e-03  2.2135461e-03
 -1.0769346e-03  1.6306480e-03  2.5900993e-03  5.0736160e-04
 -6.2837481e-04  1.2757354e-03 -2.7470051e-03  1.7230097e-03
  1.5520882e-03  6.2498625e-04 -3.0245932e-03  4.7856045e-04
 -3.2317411e-04  7.9293393e-05 -3.1318299e-03 -1.3964798e-03
  2.6081540e-03  1.2948147e-03  1.8842918e-03  1.9770040e-04
 -2.2084224e-03  1.3172408e-03  1.4196243e-03 -8.5633161e-04
 -8.7811617e-04 -1.6585815e-03  9.6649188e-04  1.5006451e-03
 -1.0657720e-03 -2.1351324e-04  3.1462407e-03  3.8883367e-04
  5.4117418e-03 -3.0358853e-03 -1.0501571e-03 -2.7001146e-03
 -7.0743740e-04  2.2784977e-03 -7.5615925e-04  2.1134184e-04]"
8,"
A country guy goes into a city bar that has a dress code, and the maitre
d' 
demands he wear a tie. Discouraged, the guy goes to his car to sulk when 
inspiration strikes: He's got jumper cables in the trunk! So he wraps
them around his neck, sort of like a string tie (a bulky string tie to be
sure) and returns to the bar. The maitre d' is reluctant, but says to the
guy, ""Okay, you're a pretty resourceful fellow, you can come in... but
just don't start anything""!  
","[ 0.00067686  0.00149898 -0.00158136 -0.00037822  0.00187281  0.00215248
 -0.00118043 -0.00142189  0.00443333  0.00487523 -0.00154142  0.00276741
  0.00165906  0.00192216 -0.00390281 -0.00014887  0.00162732  0.00094754
 -0.00023226 -0.00192599  0.00140745  0.00152435  0.00166278 -0.00158343
  0.00030603 -0.00210209  0.00291542 -0.00210884 -0.00018053  0.0051934
 -0.00089061  0.00067383 -0.00432221 -0.00262218 -0.00424949 -0.00022482
 -0.00166547 -0.0023139   0.00021676 -0.00107792  0.00052374  0.00383123
  0.00108828  0.00276554  0.00187748  0.00071734  0.00213415  0.00126203
  0.00112109  0.00201616 -0.00278054  0.00440797 -0.00280874  0.00161608
 -0.00247333 -0.00018839 -0.00099587  0.00070185  0.00156968  0.00221042
 -0.0007869   0.00240752  0.00328977  0.00105131 -0.00084058  0.00138124
 -0.00348437  0.00200839  0.00230412  0.00081978 -0.00349902  0.00078354
 -0.00055444 -0.00031451 -0.00403242 -0.0016694   0.00394462  0.00185942
  0.00242884 -0.00029235 -0.00188881  0.00164719  0.00151949 -0.00154326
 -0.00081239 -0.00219304  0.00112983  0.00190657 -0.00140197 -0.00091682
  0.00336742  0.00043937  0.00692778 -0.00331921 -0.00142055 -0.00360515
 -0.00106827  0.00319917 -0.00061404  0.00035579]"
9,"
Two cannibals are eating a clown, one turns to other and says: <P>
""Does this taste funny to you? <P></UL>
","[ 4.3138588e-04  1.4765620e-03 -1.6238414e-03 -1.6402567e-04
  1.8435126e-03  2.1029166e-03 -9.9195575e-04 -1.4357643e-03
  4.4740960e-03  4.5476998e-03 -1.4561431e-03  2.7955440e-03
  1.5955094e-03  1.8279960e-03 -3.6072920e-03 -9.3786643e-05
  1.5815855e-03  6.9626310e-04 -4.0852948e-04 -1.5628889e-03
  1.5981356e-03  1.2970885e-03  1.5246457e-03 -1.7649847e-03
  3.6513992e-04 -1.8844822e-03  2.9146555e-03 -1.9248038e-03
 -3.5345397e-04  4.9539534e-03 -4.6492374e-04  3.4893854e-04
 -4.3157651e-03 -2.3552538e-03 -3.7874202e-03 -1.8343711e-04
 -1.6978936e-03 -2.0507807e-03  1.4313516e-04 -9.4992766e-04
  3.9409674e-04  3.4572671e-03  1.0479516e-03  2.6595469e-03
  1.6333993e-03  9.3316799e-04  1.7506090e-03  1.2682526e-03
  1.2409795e-03  1.6377280e-03 -2.6882363e-03  4.2804061e-03
 -2.4504855e-03  1.5264429e-03 -2.2568721e-03 -2.9031633e-04
 -1.0866735e-03  7.7478139e-04  1.1254227e-03  2.2792697e-03
 -6.8440096e-04  2.3305609e-03  3.1343242e-03  7.7107130e-04
 -8.8431058e-04  1.3457915e-03 -3.3684126e-03  1.6824617e-03
  2.3092793e-03  5.8029982e-04 -3.2047660e-03  7.6908490e-04
 -7.8128238e-04 -6.5193194e-07 -3.6590542e-03 -1.5401209e-03
  3.5790410e-03  1.7070288e-03  2.3060441e-03 -4.6097228e-04
 -1.9774968e-03  1.5918097e-03  1.1208472e-03 -1.3945763e-03
 -1.0298028e-03 -2.1687136e-03  1.0920678e-03  1.9350150e-03
 -1.5935742e-03 -7.4048853e-04  3.0439782e-03  2.6229635e-04
  6.6035767e-03 -3.1703073e-03 -1.1307346e-03 -3.2364733e-03
 -7.5133907e-04  2.8130857e-03 -7.3942030e-04  5.2882120e-04]"
